timestamp	commit	toffoli	clifford	qubits	ops	correct	notes
1776219465	135de21	101284162.000	211257273.000	3595	383933667	OK	baseline
1776219642	135de21	98893282.000	201627097.000	3339	368397635	OK	mod_sub_qq = gate-inverse of mod_add_qq
1776219783	dad5057	98887162.000	201606745.000	3339	368360939	OK	mod_sub_qb = gate-inverse of mod_add_qb
1776220054	bbf01ea	77082106.000	156548907.000	3339	285909913	OK	fold pair-1 kaliski: kal_compute_into + emit_inverse
1776220095	3af7f42	55277050.000	111490933.000	3339	203458887	OK	fold pair-2 kaliski
1776220329	408174a	54495466.000	109633547.250	3339	203459911	OK	push_condition around qb cmod_*
1776220432	740020e	48963274.000	95340235.250	3339	180571939	OK	move k_const correction out of Bennett
1776220725	8deb885	45834122.000	83605971.344	3339	159697739	OK	Solinas mod_double (2 adds not 3)
1776220828	a86f208	44777066.000	80323119.406	3339	152490518	OK	Solinas mod_add_qq
1776220976	5aa67b7	42906674.000	75971465.828	3339	146281030	OK	k_const correction via 2n halvings
1776221106	e6a9590	40815962.000	69533441.625	3339	133741126	OK	Solinas fold in kaliski step 8
1776221412	3536f4c	35826074.000	59505316.766	3339	123462695	OK	MAJ-only cmp_lt_into
1776222098	56bbf14	33729434.000	55310640.672	3339	115073063	OK	with_gt fusion in kaliski step 2
1776222151	34c64b9	31642202.000	55053049.812	3339	102286375	OK	with_eq_zero fusion in kaliski step 0
1776224365	b655093	20608890.000	39266755.016	3339	69105779	OK	with_kal_inv: hold st across body, halve kaliski calls
1776225760	8e0c9f6	19826234.000	37392622.719	3339	65360410	OK	fuse lam*(Qx-Rx) for Ry
1776225795	a444e60	19045882.000	35458109.000	3595	61616321	OK	fuse pair-2 body: lam -= inv*(Ry+Qy)
1776227133	eb470ad	19045882.000	35458109.000	3595	61616321	OK	rerun current best for sanity
1776228221	eb470ad	19045882.000	35457341.000	3339	61615553	OK	in-place ty mutation in pair 2, save 256 qubits
1776228391	93cee90	19045882.000	35457341.000	3339	61615553	OK	sanity check current best
1776228978	93cee90	19045882.000	35457341.000	3339	61615553	OK	sanity at 19045882
1776229212	93cee90	19045882.000	35457341.000	3339	61615553	OK	final status check
1776229730	93cee90	19045882.000	35457341.000	3339	61615553	OK	final session status
1776229833	93cee90	19041786.000	35457341.000	3339	61607361	OK	share scratch in kaliski step 2 mcx3s
1776230725	fb60dee	19041786.000	35457341.000	3339	61607361	OK	session end status check
1776232220	fb60dee	19041786.000	35457341.000	3339	61607361	OK	session kickoff sanity
1776232419	fb60dee	19041786.000	35456317.000	3339	61606337	OK	use b_f as scratch in kaliski step 1 mcx3
1776232896	5929552	19041786.000	35454269.000	3339	61604289	OK	reuse add_f as scratch in kaliski step 0 and step 2
1776235873	419a4df	0.000	0.000	3083	61534371	FAIL	kaliski iters 2n-1 instead of 2n | REVERSIBILITY VIOLATION at op #61534115: R targets qubit QubitId(512) but its value across 64 live shots is 0xd335836c5ce198e7 (nonzero). A clean reversible circuit must uncompute every ancilla to |0⟩ before freeing it.
1776239311	419a4df	19040766.000	35583551.000	3083	61731051	OK	skip mod_neg in pair 2: use Rx-Qx as kaliski input
1776239495	ee1743e	19038718.000	35312179.000	3083	61454627	OK	skip kaliski_forward final neg, flip pair 1/2 body sub/add
1776240298	53a4aeb	19034622.000	35303164.000	3083	61439436	OK	defer ty-=Qy into pair 2 body, skip the paired sub/add around the mul
1776247382	d0d95fd	19034622.000	35303164.000	3083	61439436	OK	swap operand order in pair 2 body mul
1776247416	d0d95fd	19034622.000	35303164.000	3083	61439436	OK	swap operand order in pair 1 body muls
1776247578	d0d95fd	19032574.000	35307260.000	3083	61433292	OK	step 1 shared-z trick: save 1 CCX per kaliski iter
1776249196	dfa4bd0	18508286.000	36093692.000	3083	61695436	OK	kaliski step 4: fused cucc sub/add with shared tmp, transform in place
1776249747	90775e2	18508286.000	36093948.000	3083	61695180	OK	share a register across 2 tx -= Qx subs in Rx
1776252156	90775e2	18506238.000	36093692.000	3083	61693388	OK	step 4 fused: skip tmp[n] load, ccx(add_f, r[n], s[n]) directly
1776253618	07b05f5	0.000	0.000	3083	61683148	FAIL	step 1 simplify: exploit u[0]=1 invariant, a_f always 0 | REVERSIBILITY VIOLATION at op #4606736: R targets qubit QubitId(2564) but its value across 64 live shots is 0x0000000000240050 (nonzero). A clean reversible circuit must uncompute every ancilla to |0⟩ before freeing it.
1776257425	07b05f5	18506238.000	36093692.000	3083	61693388	OK	sanity check resume loop
1776257643	07b05f5	0.000	0.000	3083	61686714	FAIL	cmp_lt_into/with_lt: drop first-maj ccx since c_in=0 | REVERSIBILITY VIOLATION at op #10839496: R targets qubit QubitId(3078) but its value across 64 live shots is 0x2df61e8a9c3b566e (nonzero). A clean reversible circuit must uncompute every ancilla to |0⟩ before freeing it.
1776273981	07b05f5	18506238.000	36093692.000	3083	61693388	OK	session start: confirming baseline
1776275896	19741a2	18506238.000	36093692.000	3083	61693388	OK	cleanup: remove unused kaliski_inv_inplace + pow_mod_2_k
1776301759	b9f45f6	18506238.000	36093692.000	3083	61693388	OK	pre-refactor baseline check
1776301972	b9f45f6	18506238.000	36093692.000	3083	61693388	OK	post-refactor: builder inlined, build() returns Vec<Op>
1776302819	e029267	18506238.000	36093692.000	3083	61693388	OK	Builder removed, struct B with pub fields
1776303438	e584a7f	18506238.000	36093692.000	3083	61693388	OK	upstream sim.rs restored, phase check only
1776303562	b15b7c9	18506238.000	36093692.000	3083	61693388	OK	final baseline verify
1776312552	b15b7c9	18506238.000	36093692.000	3083	61693388	OK	all IR ops in builder + uncompute_and
1776312853	78e8a72	18506238.000	36093692.000	3083	61693388	OK	baseline
1776314426	78e8a72	18178558.000	36585227.531	3083	62348748	FAIL	uncompute_and in cmod_add/sub_qq | PHASE GARBAGE: global_phase = 0xb49dfdbfd34574e6 across 64 live shots (must be 0)
1776314436	78e8a72	18178558.000	36585227.531	3083	62348748	FAIL	uncompute_and in cmod_add/sub_qq | PHASE GARBAGE: global_phase = 0xb49dfdbfd34574e6 across 64 live shots (must be 0)
1776314571	78e8a72	18178558.000	36585259.578	3083	62021068	OK	uncompute_and in cmod_add/sub_qq (no neg)
1776314580	78e8a72	18178558.000	36585259.578	3083	62021068	OK	uncompute_and in cmod_add/sub_qq (no neg)
1776315686	c68137c	17655294.000	38427877.766	3083	63602124	OK	explicit kaliski_backward with measurement uncompute
1776315762	8212f6b	17132030.000	39212792.812	3083	64125388	OK	measurement uncompute in forward kaliski too
1776316016	2b7c9df	16607742.000	41572148.062	3083	66222540	OK	carry-ancilla measurement in with_lt
1776316121	4488a61	16542206.000	41867085.594	3083	66484684	OK	cmp_lt_into_fast in mod_add_qq for cmod_add_qq
1776316290	4488a61	16541950.000	41868155.516	3083	66485708	OK	cmp_lt_into_fast (fixed mod_add_qb)
1776316748	c3fe09b	16344574.000	42756309.016	3083	67275212	OK	fast cuccaro in mod_add_qq_fast
1776316862	c3fe09b	14773758.000	49825091.828	3083	73558476	OK	fast cuccaro in kaliski iter step 4+8
1776316911	8d54b18	14249470.000	52184322.156	3083	75655628	OK	fast cuccaro in backward step 8
1776317106	86f7fe1	11895294.000	63969070.797	3083	86263214	OK	fast double/halve everywhere
1776317353	93961d0	11365360.000	74261916.016	3339	98363535	OK	fast mod_sub everywhere (neg+add+neg)
1776317475	ec02a9d	11364081.000	74267553.922	3339	98368651	OK	remaining fast cuccaro in mod_add_qb, mod_neg
1776317881	5fd4637	11100145.000	72256316.812	3339	95945801	OK	direct mod_sub: sub + cadd_p + neg/cmp_lt/neg
1776318463	b2112d8	10244351.000	64453225.781	3340	84654038	FAIL	parity trick for flag uncompute in mod_add/sub_qq_fast | PHASE GARBAGE: global_phase = 0xd4383de643204374 across 64 live shots (must be 0)
1776318564	b2112d8	11100145.000	72256316.812	3339	95945801	OK	verify revert to direct mod_sub
1776318907	b2112d8	10844129.000	69323299.828	3339	91120313	OK	mod_mul_sub via neg+add: save 256 CCX/iter
1776319399	a462064	10844129.000	69323299.828	3339	91120313	OK	verify current best
1776319797	a462064	10840033.000	69329839.656	3339	91124409	OK	measurement uncompute z and add_f in steps 1/2
1776319953	23dbf55	10837985.000	69332433.328	3339	91126457	OK	measurement mcx2_polar uncompute in steps 4/5
1776320520	5b15467	10835945.000	69313458.000	3339	91097985	FAIL	2 negs instead of 4 in mod_mul_sub | CLASSICAL MISMATCH shot 0: got (0xb5fbb9391987f41e466e7f8eab053328589c5d899369bb60abd5bfb003705fd0,0xde7d905bda2b27fac91fb3e01f7a493ff1a09c666cc0435c47386704f8bc2185) exp (0x4311fd5aa261f26478f7af2b8cfc7b6515c54fcf1b20d3335a68c5471829f280,0x168fdf63a9e6f3cc68677bf14a5b8f08d7bdee598298d48ef6db1d550bd716b0)
1776320536	5b15467	10835945.000	69313458.000	3339	91097985	FAIL	2 negs instead of 4 in mod_mul_sub | CLASSICAL MISMATCH shot 0: got (0xb5fbb9391987f41e466e7f8eab053328589c5d899369bb60abd5bfb003705fd0,0xde7d905bda2b27fac91fb3e01f7a493ff1a09c666cc0435c47386704f8bc2185) exp (0x4311fd5aa261f26478f7af2b8cfc7b6515c54fcf1b20d3335a68c5471829f280,0x168fdf63a9e6f3cc68677bf14a5b8f08d7bdee598298d48ef6db1d550bd716b0)
